Unnamed: 0,EJEMPLAR,Título,Autor,Editorial,Colección,Año,CATEGORÍA,EDAD (literatura),CDU
4567,1,250 chistes para reírte mejor,-,EDG,,1926,,,
3880,1,26 poetas argentinos (1810-1920),Antología,EUdeBA,Serie del siglo y medio - 4,1926,,,
5621,1,30 años de historia política Argentina 1965-1995,"Macchi, Rubén R.",Edicones RR,,1995,Historia Argentina,,
3662,1,34 poemas,"Cernuda, Luis",Mondadori,-,1926,,,
2103,1,350 adivinanzas para jugar,"Scheujer, Silvia",Sudamericana,,1926,,,
3886,1,39 Cuentos Argentinos de vanguardia,"Mastrángelo, Carlos (comp.)",Plus Ultra,,1926,,,
4151,1,62 Modelo para armar,"Cortázar, Julio",Sudamericana,,1926,,,
939,1,7 : siete cuentos registrados,,AZ,,1926,,,
4789,1,76.11 Afiches. Momentos que hicieron historia,-,Jefatura de Gabinete de Ministro,"Memoria en movimiento, voces, imágenes, testimonios",1926,,,
4790,1,76.11 Afiches. Momentos que hicieron historia. Cuadernillo para el docente,-,Jefatura de Gabinete de Ministro,"Memoria en movimiento, voces, imágenes, testimonios",1926,,,
3122,3,9 de Julio : los días de la Independencia,-,Billiken,Biblioteca Billiken para la familia - 19,1926,,,
4819,1,A 30 años del Golpe Militar: La escuela y la memoria,"Ministerio de Educación, Ciencia y Tecnología de la Nación",,El monitor de la educación. Nº 6 Marzo/Abril,1926,,,
4861,1,A 35 años. Educación y memoria. 24 de marzo...,Ministerio de Educación de la Nación,,,1926,,,
3605,1,A buen fin no hay mal principio. Trabajos de amor perdidos,"Shakespeare, William",Espasa-Calpe,Colección Austral,1926,,,
1219,1,A filmar canguros míos,"Wolf, Ema",Sudamericana,Pan Flauta - Verde,1926,,,
1611,1,A Frankenstein se le fue la mano,"Sevilla, Fabián",Salim,Amaranta,1926,,,
2497,1,A la deriva y otros cuentos,"Quiroga, Horacio",Colihue,Leer y crear,1926,,,
1464,1,A los mártires españoles,"Claudel, Paul",Gladium,-,1926,,,
